Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version M-2017.03-SP1_Full64; Runtime version M-2017.03-SP1_Full64;  Nov 17 16:09 2019
VCD+ Writer M-2017.03-SP1_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
The file '/home/student/jkw0002/CPE527L/PROJECT/28nm/vcs_post_par/inter.vpd' was opened successfully.
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version M-2017.03-SP1_Full64; Runtime version M-2017.03-SP1_Full64;  Nov 17 16:09 2019
VCS Build Date = May 23 2017 20:49:19
Start run at Nov 17 16:09 2019
VCD+ Writer M-2017.03-SP1_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
The file '/home/student/jkw0002/CPE527L/PROJECT/28nm/vcs_post_par/inter.vpd' was opened successfully.
time=    0 ns, clk=0, reset=1, memdata=xxxxxxxx, memread=x, memwrite=x, addr=xxxxxxxx, writedata=xxxxxxxx, pcout=xxxxxxxx, regwrite=x, wrAddr=xxxxx, rdAddr1=xxxxx, rdAddr2=xxxxx, wrData=xxxxxxxx, Ain=xxxxxxxx, Bin=xxxxxxxx
time= 4320 ns, clk=1, reset=0, memdata=00000003, memread=1, memwrite=0, addr=0000001f, writedata=xxxxxxxx, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=0000001f, Ain=00000000, Bin=xxxxxxxx
time= 4320 ns, clk=1, reset=0, memdata=00000003, memread=1, memwrite=0, addr=0000001f, writedata=xxxxxxxx, pcout=0000000b, regwrite=1, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=0000001f, Ain=00000000, Bin=xxxxxxxx
time= 4320 ns, clk=1, reset=0, memdata=00000003, memread=1, memwrite=0, addr=0000001f, writedata=xxxxxxxx, pcout=0000000b, regwrite=1, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=00000003, Ain=00000000, Bin=xxxxxxxx
time= 4608 ns, clk=0, reset=0, memdata=00000003, memread=1, memwrite=0, addr=0000001f, writedata=xxxxxxxx, pcout=0000000b, regwrite=1, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=00000003, Ain=00000000, Bin=xxxxxxxx
time= 4896 ns, clk=1, reset=0, memdata=00000003, memread=1, memwrite=0, addr=0000001f, writedata=xxxxxxxx, pcout=0000000b, regwrite=1, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=00000003, Ain=00000000, Bin=xxxxxxxx
time= 4896 ns, clk=1, reset=0, memdata=00000003, memread=1, memwrite=1, addr=0000001f, writedata=xxxxxxxx, pcout=0000000b, regwrite=1, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=00000003, Ain=00000000, Bin=xxxxxxxx
time= 4896 ns, clk=1, reset=0, memdata=00000003, memread=0, memwrite=1, addr=0000001f, writedata=xxxxxxxx, pcout=0000000b, regwrite=1, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=00000003, Ain=00000000, Bin=xxxxxxxx
time= 4896 ns, clk=1, reset=0, memdata=00000003, memread=0, memwrite=0, addr=0000001f, writedata=xxxxxxxx, pcout=0000000b, regwrite=1, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=00000003, Ain=00000000, Bin=xxxxxxxx
time= 4896 ns, clk=1, reset=0, memdata=00000003, memread=0, memwrite=0, addr=0000000b, writedata=xxxxxxxx, pcout=0000000b, regwrite=1, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=00000003, Ain=00000000, Bin=xxxxxxxx
time= 4896 ns, clk=1, reset=0, memdata=00000003, memread=0, memwrite=0, addr=0000000b, writedata=xxxxxxxx, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=00000003, Ain=00000000, Bin=xxxxxxxx
time= 4896 ns, clk=1, reset=0, memdata=00000003, memread=1, memwrite=0, addr=0000000b, writedata=xxxxxxxx, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=00000003, Ain=00000000, Bin=xxxxxxxx
time= 4896 ns, clk=1, reset=0, memdata=00000003, memread=1, memwrite=0, addr=0000000b, writedata=xxxxxxxx, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=00000003, Ain=00000000, Bin=xxxXxxxx
time= 4896 ns, clk=1, reset=0, memdata=00000003, memread=1, memwrite=0, addr=0000000b, writedata=xxxxxxxx, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=00000003, Ain=00000000, Bin=xxxXxxxX
time= 4896 ns, clk=1, reset=0, memdata=00000003, memread=1, memwrite=0, addr=0000000b, writedata=xxxxxxxx, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=00000003, Ain=00000000, Bin=00000X03
time= 4896 ns, clk=1, reset=0, memdata=00000003, memread=1, memwrite=0, addr=0000000b, writedata=xxxxxxxx, pcout=0000000b, regwrite=0, wrAddr=00001, rdAddr1=00000, rdAddr2=00001, wrData=0000001f, Ain=00000000, Bin=00000X03
